#time flow_seqno path
 #This first chunk is just fully-observed routes, the chunk after the next commented line
 #contains routes with inferred packets, and then the chunk
 #after the last commented line are the scores (for the bottom half of the figure).
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 51335 9101.742 13
 51337 9102.612 13
 51341 9104.767 13
 51342 9104.735 13
 51343 9105.555 13
 51347 9107.472 13
 51351 9109.454 13
 51352 9109.461 13
 51353 9110.446 13
 51354 9110.441 13
 51355 9111.427 13
 51356 9111.407 13
 51357 9112.433 13
 51358 9112.444 13
 51360 9113.426 13
 51361 9114.378 13
 51365 9116.353 13
 51366 9116.464 13
 51367 9117.365 13
 51368 9117.351 13
 51369 9118.282 13
 51383 9125.247 13
 51385 9126.103 13
 51389 9128.111 13
 51391 9129.027 13
 51392 9129.030 13
 51393 9130.013 13
 51417 9141.796 9
 51418 9141.796 9
 51422 9143.821 12
 51427 9146.663 12
 51445 9155.465 12
 51446 9155.486 12
 51447 9156.432 12
 51454 9159.330 12
 51460 9162.336 12
 51462 9163.274 12
 51467 9166.191 12
 51468 9166.192 12
 51473 9169.124 9
 51475 9170.041 9
 51476 9170.044 9
 51479 9171.968 9
 51481 9173.066 13
 51486 9174.997 13
 51487 9175.996 13
 51488 9175.996 13
 51495 9179.892 13
 51498 9180.883 13
 51499 9181.874 13
 51503 9183.837 13
 51504 9183.847 13
 51513 9188.668 13
 51519 9191.602 13
 51520 9191.631 13
 51523 9193.581 13
 51525 9194.582 13
 51526 9194.582 13
 51527 9195.784 13
 51535 9199.484 13
 51537 9200.465 13
 51539 9201.476 13
 51540 9201.433 13
 51543 9203.419 13
 51544 9203.398 13
 51551 9207.295 13
 51553 9208.291 13
 51554 9208.294 13
 51561 9214.137 13
 51564 9217.099 13
 51566 9218.086 13
 51567 9218.126 13
 51568 9219.068 13
 51569 9219.068 13
 51570 9220.249 13
 51576 9222.931 13
 51577 9222.953 13
 51584 9226.833 13
 51590 9229.760 13
 51593 9230.751 13
 51596 9232.712 13
 51597 9232.714 13
 51598 9233.701 13
 51608 9238.610 13
 51610 9239.581 13
 51611 9239.584 13
 51612 9240.598 13
 51613 9240.598 13
 51616 9242.521 13
 51617 9242.501 13
 51618 9243.538 13
 51621 9244.504 13
 51626 9247.402 13
 51627 9247.386 13
 51630 9249.322 13
 51632 9250.327 13
 51634 9251.298 13
 51636 9252.299 13
 51637 9252.295 13
 51639 9253.341 13
 51640 9254.252 13
 51641 9254.230 13
 51642 9255.334 13
 51644 9256.206 13
 51645 9256.209 13
 51650 9259.106 13
 51654 9261.102 13
 51666 9267.021 13
 51667 9267.017 13
 51668 9267.911 13
 51674 9271.868 13
 51675 9272.839 13
 51677 9274.810 13
 51680 9277.726 13
 51681 9278.697 13
 51682 9279.699 13
 51687 9284.602 13
 51688 9285.567 13
 51689 9286.569 13
 51690 9286.545 13
 51691 9287.540 13
 51692 9287.518 13
 51693 9288.495 13
 51694 9288.498 13
 51697 9290.745 13
 51703 9293.372 13
 51704 9293.375 13
 51705 9294.350 13
 51706 9294.400 13
 51707 9295.371 13
 51708 9295.337 13
 51709 9296.279 13
 51717 9300.208 13
 51719 9301.210 13
 51721 9302.171 13
 51723 9303.219 13
 51724 9303.219 13
 51726 9304.154 13
 51729 9306.072 13
 51730 9306.173 13
 51733 9308.090 13
 51734 9308.126 13
 51736 9309.071 13
 51738 9310.219 13
 51740 9311.020 13
 51742 9312.041 13
 51752 9317.008 13
 51754 9317.970 13
 51756 9318.901 13
 51766 9322.837 13
 51769 9322.877 13
 51771 9322.830 13
 51773 9323.828 13
 51775 9323.858 13
 51794 9327.103 13
 51798 9327.448 13
 51799 9327.458 13
 51801 9328.068 13
 51809 9328.845 13
 51811 9328.935 13
 51814 9329.801 13
 51815 9329.876 13
 51816 9329.878 13
 51817 9329.881 13
 51818 9329.884 13
 51820 9329.887 13
 51824 9330.848 13
 51825 9330.908 13
 51827 9330.908 13
 51829 9331.800 13
 51836 9332.801 13
 51838 9332.831 13
 51842 9333.777 13
 51843 9333.783 13
 51844 9333.774 13
 51845 9333.917 13
 51846 9333.865 13
 51848 9333.892 13
 51853 9334.798 13
 51854 9334.777 13
 51855 9334.773 13
 51859 9335.805 13
 51860 9335.805 13
 51862 9335.976 13
 51865 9336.867 13
