#time flow_seqno path
 #This first chunk is just observed packets, the chunk after the next commented line
 #contains just inferred packets, and then the chunk
 #after the last commented line are the scores.
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 51590 9229.760 14
 51593 9230.751 14
 51596 9232.712 14
 51597 9232.714 14
 51598 9233.701 14
 51608 9238.610 14
 51610 9239.581 14
 51611 9239.584 14
 51613 9240.598 14
 51612 9240.598 14
 51617 9242.501 14
 51616 9242.521 14
 51618 9243.538 14
 51621 9244.504 14
 51627 9247.386 14
 51626 9247.402 14
 51630 9249.322 14
 51632 9250.327 14
 51634 9251.298 14
 51637 9252.295 14
 51636 9252.299 14
 51639 9253.341 14
 51641 9254.230 14
 51640 9254.252 14
 51642 9255.334 14
 51644 9256.206 14
 51645 9256.209 14
 51650 9259.106 14
 51654 9261.102 14
 51667 9267.017 14
 51666 9267.021 14
 51668 9267.911 14
 51674 9271.868 14
 51675 9272.839 14
 51677 9274.810 14
 51680 9277.726 14
 51681 9278.697 14
 51682 9279.699 14
 51687 9284.602 14
 51688 9285.567 14
 51690 9286.545 14
 51689 9286.569 14
 51692 9287.518 14
 51691 9287.540 14
 51693 9288.495 14
 51694 9288.498 14
 51697 9290.745 14
 51703 9293.372 14
 51704 9293.375 14
 51705 9294.350 14
 51706 9294.400 14
 51708 9295.337 14
 51707 9295.371 14
 51709 9296.279 14
 51717 9300.208 14
 51719 9301.210 14
 51721 9302.171 14
 51724 9303.219 14
 51723 9303.219 14
 51726 9304.154 14
 51729 9306.072 14
 51730 9306.173 14
 51734 9308.126 14
 51733 9308.090 14
 51736 9309.071 14
 51738 9310.219 14
 51740 9311.020 14
 51742 9312.041 14
 51752 9317.008 14
 51754 9317.970 14
 51756 9318.901 14
 51766 9322.837 14
 51769 9322.877 14
 51771 9322.830 14
 51773 9323.828 14
 51775 9323.858 14
 51794 9327.103 14
 51798 9327.448 14
 51799 9327.458 14
 51801 9328.068 14
 51809 9328.845 14
 51811 9328.935 14
 51814 9329.801 14
 51815 9329.876 14
 51816 9329.878 14
 51817 9329.881 14
 51818 9329.884 14
 51820 9329.887 14
 51824 9330.848 14
 51827 9330.908 14
 51825 9330.908 14
 51829 9331.800 14
 51836 9332.801 14
 51838 9332.831 14
 51844 9333.774 14
 51842 9333.777 14
 51843 9333.783 14
 51846 9333.865 14
 51848 9333.892 14
 51845 9333.917 14
 51854 9334.777 14
 51855 9334.773 14
 51853 9334.798 14
 51859 9335.805 14
 51860 9335.805 14
 51862 9335.976 14
 51868 9336.763 14
 51865 9336.867 14
 51867 9336.937 14
 51875 9337.778 14
 51881 9338.710 14
 51883 9338.770 14
 51887 9339.691 14
 51894 9340.662 14
 51895 9340.672 14
 51897 9340.691 14
 51896 9340.692 14
 51891 9340.707 14
 51899 9341.639 14
 51900 9341.641 14
 51902 9341.644 14
 51904 9341.655 14
 51903 9341.694 14
 51905 9342.639 14
 51906 9342.642 14
 51907 9342.644 14
 51908 9342.647 14
 51909 9342.650 14
 51911 9342.653 14
 51912 9343.597 14
 51914 9343.603 14
 51919 9344.552 14
 51921 9344.554 14
 51923 9344.626 14
 51924 9344.629 14
 51927 9345.526 14
 51933 9346.577 14
 51934 9346.580 14
 51935 9346.583 14
 51936 9346.585 14
 51943 9347.550 14
 51944 9347.502 14
 51945 9348.458 14
 51947 9348.508 14
 51948 9348.511 14
 51949 9348.514 14
 51950 9348.517 14
 51952 9349.445 14
 51955 9349.446 14
 51951 9349.469 14
 51957 9350.416 14
 51958 9350.430 14
 51960 9350.446 14
 51972 9352.438 14
 51973 9352.441 14
 51971 9352.464 14
 51977 9353.415 14
 51991 9355.428 14
