#time flow_seqno path
#This first chunk is just fully-observed routes, the chunk after the next commented line
#contains routes with inferred packets, and then the chunk
#after the last commented line are the scores (for the bottom half of the figure).
#These are grouped this way for greater ease in formatting
#the various data-groups.
58727 934.656 2
58728 935.219 2
58729 935.625 2
58730 935.656 2
58731 936.625 2
58732 936.656 2
58733 937.594 2
58736 939.562 2
58737 940.375 2
58738 940.406 2
58739 940.531 2
58740 940.812 2
58741 941.750 2
58742 941.906 2
58743 942.500 2
58744 942.531 2
58745 943.469 2
58746 943.500 2
58747 944.438 2
58749 945.438 2
58750 945.469 2
58753 947.406 2
58754 947.406 2
58756 948.375 2
58757 949.344 2
58758 949.375 2
58760 950.375 2
58761 951.312 2
58762 951.594 2
58763 952.281 2
58764 952.562 2
58765 953.281 2
58766 953.812 2
58767 954.250 2
58768 954.281 2
58769 955.219 2
58770 955.500 2
58771 956.219 2
58772 956.250 2
58773 957.188 2
58774 957.750 2
58775 958.156 2
58776 958.188 2
58777 959.156 2
58778 959.188 2
58779 960.125 2
58780 960.406 2
58781 961.094 2
58783 962.094 2
58784 962.094 2
58785 963.062 2
58786 963.094 2
58787 964.031 2
58789 965.031 2
58790 965.875 2
58791 966.000 2
58792 966.062 2
58793 967.000 2
58794 967.281 2
58795 967.969 2
58796 968.750 2
58797 968.938 2
58798 969.219 2
58799 969.906 2
58800 970.719 2
58801 970.906 2
58802 971.188 2
58803 971.875 2
58804 972.188 2
58805 972.875 2
58806 973.156 2
58807 973.844 2
58809 974.812 2
58810 975.094 2
58811 975.812 2
58813 976.781 2
58814 976.812 2
58815 977.750 2
58817 978.750 2
58819 979.719 2
58820 980.000 2
58821 980.969 2
58822 980.969 2
58823 981.688 2
58824 981.969 2
58825 982.656 2
58826 982.688 2
58828 983.688 2
58829 984.625 2
58830 985.156 2
58831 985.594 2
58832 985.906 2
58833 986.562 2
58835 987.562 2
58836 987.594 2
58837 988.531 2
58838 989.344 2
58839 989.500 2
58840 989.781 2
58841 990.500 2
58842 990.531 2
58843 991.469 2
58844 991.500 2
58845 992.469 2
58846 992.469 2
58847 993.438 2
58848 993.469 2
58849 994.406 2
58850 994.688 2
58851 995.406 2
58852 995.656 2
58854 996.406 2
58856 997.656 2
58857 998.344 2
58859 999.312 2
58861 1000.281 2
58863 1001.281 2
58864 1001.812 2
